species;model;area_sf_max;area_sf_min;area_sf_diff;area_ratio_max;area_ratio_min;area_ratio_diff;area_kendall_max;area_kendall_min;area_kendall_diff
Fraxinus;2022-operational;3,371548672;1,950033279;1,421515392;0,182660474;0,074280184;0,108380291;0,586816786;-0,110291941;0,697108727
Fraxinus;2025-Beta-1;1,536052802;0,535765146;1,000287656;0,44727604;0,171274281;0,276001759;0,587834176;-0,099063871;0,686898047
Fraxinus;2025-Beta-2;2,389656839;0,681455093;1,708201745;0,222132428;0,116428789;0,105703639;0,642435116;-0,106003783;0,748438899
Fraxinus;2025-Gamma-1;1,924807625;0,611102964;1,313704661;0,347110246;0,130512363;0,216597883;0,570789047;-0,10615291;0,676941956
Fraxinus;2025-Gamma-2;2,79683189;1,020712321;1,776119569;0,177406446;0,076160078;0,101246368;0,648399015;-0,102370131;0,750769146
Fraxinus;2025-Gamma-3;2,171974038;0,650878744;1,521095294;0,331317506;0,142210093;0,189107414;0,618863534;-0,105562151;0,724425684
Fraxinus;2025-Omega-1;2,091286965;0,6555949;1,435692065;0,379644905;0,178014658;0,201630247;0,585096322;-0,096675568;0,68177189
Fraxinus;2025-Omega-2;2,395333784;0,578252712;1,817081073;0,356921981;0,12792741;0,22899457;0,614396722;-0,106310673;0,720707395
Pinaceae;2022-operational;5,755185996;2,398049665;3,357136331;0,275470501;0,124228963;0,151241538;0,72665613;0,54262544;0,18403069
Pinaceae;2025-Beta-1;5,287901833;2,272911667;3,014990166;0,401175812;0,155054401;0,246121411;0,724612662;0,542781065;0,181831597
Pinaceae;2025-Beta-2;5,441605804;2,300457954;3,14114785;0,430962549;0,197309129;0,23365342;0,713360733;0,5023536;0,211007132
Pinaceae;2025-Gamma-1;5,43456634;2,327641965;3,106924375;0,454184463;0,181989974;0,272194489;0,714958679;0,541030553;0,173928126
Pinaceae;2025-Gamma-2;5,55333095;2,436422612;3,116908337;0,394808102;0,149706488;0,245101613;0,76059146;0,565915957;0,194675503
Pinaceae;2025-Gamma-3;5,418657744;2,353384909;3,065272834;0,473163591;0,158277998;0,314885593;0,723426378;0,527982192;0,195444186
Pinaceae;2025-Omega-1;5,344671871;2,303422539;3,041249333;0,426131773;0,179639058;0,246492715;0,724251973;0,544670563;0,17958141
Pinaceae;2025-Omega-2;5,495527421;2,281766813;3,213760608;0,416355949;0,164112526;0,252243423;0,711882668;0,528423765;0,183458902
Platanus;2022-operational;8,533811212;2,322604194;6,211207018;0,614597534;0,390371803;0,224225732;0,32152324;-0,131476786;0,453000026
Platanus;2025-Beta-1;426,486307;8,682392874;417,8039142;0,160784796;0,012485136;0,148299661;0,692400983;-0,125431989;0,817832972
Platanus;2025-Beta-2;13,67664849;4,09654742;9,580101067;0,021974816;0,005058771;0,016916045;0,723960509;-0,098985601;0,82294611
Platanus;2025-Gamma-1;125,9008951;13,07221865;112,8286765;0,061866913;0,005521416;0,056345497;0,76584917;-0,112115777;0,877964947
Platanus;2025-Gamma-2;5,702612102;3,827323936;1,875288166;0,030265659;0,009124402;0,021141257;0,693577406;-0,085178182;0,778755588
Platanus;2025-Gamma-3;45,57235484;7,414371784;38,15798305;0,027323798;0,009604975;0,017718823;0,674625571;-0,155190479;0,829816049
Platanus;2025-Omega-1;138,8036613;4,681037508;134,1226238;0,080513043;0,00407234;0,076440703;0,740175393;-0,148178796;0,888354189
Platanus;2025-Omega-2;17,15621119;3,331241964;13,82496923;0,040129626;0,008293585;0,03183604;0,68804619;-0,134244962;0,822291152
Poaceae;2022-operational;6,556078814;3,704083878;2,851994936;1,020583308;0,227109112;0,793474196;0,77132143;0,235262368;0,536059063
Poaceae;2025-Beta-1;12,20299553;5,657936474;6,545059052;0,314774004;0,128608275;0,186165729;0,808912807;0,261008148;0,547904658
Poaceae;2025-Beta-2;9,464340025;4,735539015;4,72880101;0,372763876;0,158748189;0,214015687;0,797436543;0,221261027;0,576175516
Poaceae;2025-Gamma-1;9,431528307;5,071264325;4,360263982;0,387450384;0,142170295;0,245280089;0,808404681;0,205958154;0,602446527
Poaceae;2025-Gamma-2;8,578433661;4,635206852;3,943226809;0,383595979;0,169319298;0,214276681;0,800017158;0,258794858;0,5412223
Poaceae;2025-Gamma-3;8,710948368;4,634036405;4,076911963;0,357294679;0,175110113;0,182184566;0,8000642;0,264128605;0,535935595
Poaceae;2025-Omega-1;8,979254104;4,308564257;4,670689847;0,431333543;0,174724877;0,256608666;0,796827675;0,155549676;0,641277999
Poaceae;2025-Omega-2;12,01042215;5,25311529;6,757306859;0,359610986;0,125369213;0,234241773;0,805537852;0,184734977;0,620802874
Populus;2022-operational;6,030972365;0,830434487;5,200537879;1,104640668;0,213573845;0,891066823;0,455573077;0,033039139;0,422533938
Populus;2025-Beta-1;8,228697423;3,073567167;5,155130256;0,776903283;0,603159643;0,17374364;0,413226229;0,044663996;0,368562233
Populus;2025-Beta-2;4,343193836;2,738788585;1,60440525;0,905343148;0,368439939;0,536903209;0,505622516;0,024951135;0,480671381
Populus;2025-Gamma-1;2,039375992;1,214155694;0,825220298;0,325042303;0,206612155;0,118430149;0,45621715;0,116905194;0,339311956
Populus;2025-Gamma-2;5,381083223;0,615745142;4,765338081;1,124880418;0,20222792;0,922652499;0,443599915;-0,030238674;0,473838589
Populus;2025-Gamma-3;1,935042381;0,275951407;1,659090974;0,658402908;0,177244297;0,481158611;0,485272886;0,105256196;0,380016691
Populus;2025-Omega-1;5,150258279;1,505481028;3,644777252;0,458566186;0,269388273;0,189177913;0,472157515;0,105472023;0,366685491
Populus;2025-Omega-2;5,886349463;1,377508183;4,50884128;0,938808795;0,221080186;0,717728608;0,512295242;0,015448523;0,496846719
Quercus;2022-operational;6,539897466;3,492230156;3,047667311;0,722659276;0,069805337;0,652853939;0,560851408;0,332346206;0,228505203
Quercus;2025-Beta-1;19,1439796;3,058782975;16,08519663;1,77832619;0,046871015;1,731455175;0,442866866;0,25205919;0,190807676
Quercus;2025-Beta-2;18,70273093;1,911886972;16,79084396;0,409663507;0,112460369;0,297203138;0,461472419;0,288766949;0,172705471
Quercus;2025-Gamma-1;13,94061374;1,664090113;12,27652362;0,195090205;0,08032679;0,114763415;0,43333179;0,222074044;0,211257745
Quercus;2025-Gamma-2;14,19179042;2,752102262;11,43968816;0,396768996;0,067406256;0,32936274;0,53370538;0,296492803;0,237212577
Quercus;2025-Gamma-3;17,58627941;2,344586078;15,24169334;0,447296894;0,101636076;0,345660818;0,49281374;0,254917626;0,237896114
Quercus;2025-Omega-1;38,1987509;0,897671498;37,3010794;0,24620439;0,096444981;0,149759409;0,422826652;0,166061978;0,256764673
Quercus;2025-Omega-2;7,574933479;1,291361905;6,283571575;0,286325831;0,157068946;0,129256884;0,434059186;0,235957741;0,198101445
Raindrops;2022-operational;0;0;0;0;0;0;0;0;0
Raindrops;2025-Beta-1;0;0;0;0;0;0;0;0;0
Raindrops;2025-Beta-2;0;0;0;0;0;0;0;0;0
Raindrops;2025-Gamma-1;0;0;0;0;0;0;0;0;0
Raindrops;2025-Gamma-2;0;0;0;0;0;0;0;0;0
Raindrops;2025-Gamma-3;0;0;0;0;0;0;0;0;0
Raindrops;2025-Omega-1;0;0;0;0;0;0;0;0;0
Raindrops;2025-Omega-2;0;0;0;0;0;0;0;0;0
Taxus;2022-operational;18,43996158;4,548399324;13,89156226;0,332120753;0,113139934;0,218980819;0,543049472;0,119533788;0,423515685
Taxus;2025-Beta-1;450,6195007;2,970518701;447,648982;0,065517841;0,014488457;0,051029384;0,662186134;0,355746664;0,306439469
Taxus;2025-Beta-2;5,088602291;2,808513978;2,280088313;0,096355296;0,016253506;0,08010179;0,686930495;0,312504274;0,37442622
Taxus;2025-Gamma-1;67,85638754;3,446681789;64,40970575;0,066853287;0,026094598;0,040758689;0,655969518;0,348967629;0,307001889
Taxus;2025-Gamma-2;3,327932539;2,747374008;0,580558531;0,088964146;0,034055592;0,054908553;0,674590341;0,345500892;0,329089449
Taxus;2025-Gamma-3;16,01120689;3,031197462;12,98000943;0,085243115;0,025330313;0,059912802;0,663844168;0,360841591;0,303002576
Taxus;2025-Omega-1;702,457906;3,140702493;699,3172035;0,067717145;0,021759776;0,045957369;0,684663964;0,330972082;0,353691882
Taxus;2025-Omega-2;11,31007323;2,884777912;8,425295318;0,141214487;0,022851855;0,118362633;0,662873503;0,271562479;0,391311024
Ulmus;2022-operational;0;0;0;0;0;0;0,474788088;0,270589801;0,204198287
Ulmus;2025-Beta-1;0;0;0;0;0;0;0,5446356;0,175685393;0,368950207
Ulmus;2025-Beta-2;0;0;0;0;0;0;0,611689765;0,215874879;0,395814887
Ulmus;2025-Gamma-1;0;0;0;0;0;0;0,563971239;0,253782827;0,310188413
Ulmus;2025-Gamma-2;0;0;0;0;0;0;0,616421325;0,324053997;0,292367328
Ulmus;2025-Gamma-3;0;0;0;0;0;0;0,628220776;0,25304235;0,375178426
Ulmus;2025-Omega-1;0;0;0;0;0;0;0,571326229;0,204102321;0,367223908
Ulmus;2025-Omega-2;0;0;0;0;0;0;0,622798007;0,229159402;0,393638605
